STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT10,WT10_ATTRIBUTES
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/25/2020,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/28/2020,,,,,,,,,8.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/29/2020,,,,,,,,,13.7,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/23/2021,,,,,,,,,1.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/24/2021,,,,,,,,,9.1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/25/2021,,,,,,,,,7.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/29/2021,,,,,,,,,15.2,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/30/2021,,,,,,,,,2.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/12/2021,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/4/2021,,,,,,,,,8.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/8/2021,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/11/2021,,,,,,,,,5.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/16/2021,,,,,,,,,3.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/13/2021,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/26/2021,,,,,,,,,1.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/17/2021,,,,,,,,,2,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,6/8/2021,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,7/27/2021,,,,,,,,,2,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,8/11/2021,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,8/22/2021,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,8/29/2021,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,9/25/2021,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,9/26/2021,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,9/27/2021,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,10/5/2021,,,,,,,,,6.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,10/7/2021,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,10/8/2021,,,,,,,,,1.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,10/18/2021,,,,,,,,,0.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,10/23/2021,,,,,,,,,0.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,10/25/2021,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,11/5/2021,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,11/30/2021,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/7/2021,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/9/2021,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/10/2021,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/14/2021,,,,,,,,,1.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/15/2021,,,,,,,,,38.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/24/2021,,,,,,,,,29.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/25/2021,,,,,,,,,5.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/28/2021,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/29/2021,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/30/2021,,,,,,,,,4.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/1/2022,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/8/2022,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/15/2022,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/16/2022,,,,,,,,,1.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/22/2022,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/23/2022,,,,,,,,,3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/20/2022,,,,,,,,,7.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/29/2022,,,,,,,,,12.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/22/2022,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/20/2022,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/21/2022,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/28/2022,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,6/13/2022,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,9/10/2022,,,,,,,,,3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,10/15/2022,,,,,,,,,3.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,10/16/2022,,,,,,,,,8.1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,11/2/2022,,,,,,,,,1.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,11/7/2022,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,11/8/2022,,,,,,,,,4.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,11/9/2022,,,,,,,,,16,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/5/2022,,,,,,,,,1.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/7/2022,,,,,,,,,6.1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/11/2022,,,,,,,,,7.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/12/2022,,,,,,,,,16.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/28/2022,,,,,,,,,13.7,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/29/2022,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/30/2022,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/31/2022,,,,,,,,,0.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/1/2023,,,,,,,,,24.1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/3/2023,,,,,,,,,3.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/4/2023,,,,,,,,,2.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/5/2023,,,,,,,,,6.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/6/2023,,,,,,,,,8.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/10/2023,,,,,,,,,14.7,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/11/2023,,,,,,,,,9.1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/15/2023,,,,,,,,,27.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/16/2023,,,,,,,,,15.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/17/2023,,,,,,,,,4.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/20/2023,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/30/2023,,,,,,,,,4.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,1/31/2023,,,,,,,,,4.1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/5/2023,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/23/2023,,,,,,,,,2.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/24/2023,,,,,,,,,5.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/25/2023,,,,,,,,,47,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/26/2023,,,,,,,,,13.7,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,2/28/2023,,,,,,,,,2.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/1/2023,,,,,,,,,8.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/2/2023,,,,,,,,,2.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/6/2023,,,,,,,,,0.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/10/2023,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/11/2023,,,,,,,,,16,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/12/2023,,,,,,,,,0.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/15/2023,,,,,,,,,57.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/16/2023,,,,,,,,,2.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/20/2023,,,,,,,,,1.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/21/2023,,,,,,,,,15.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/22/2023,,,,,,,,,17.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/23/2023,,,,,,,,,4.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/29/2023,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/30/2023,,,,,,,,,15.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,3/31/2023,,,,,,,,,2.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/9/2023,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/10/2023,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/12/2023,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/13/2023,,,,,,,,,4.1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/30/2023,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/1/2023,,,,,,,,,3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/4/2023,,,,,,,,,8.6,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/5/2023,,,,,,,,,2,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/14/2023,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/21/2023,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/23/2023,,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/24/2023,,,,,,,,,1.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/30/2023,,,,,,,,,0.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,6/1/2023,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,6/5/2023,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,6/12/2023,,,,,,,,,1.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
